condition_order,condition_label,run,sensor_id,position,direction,target_rpm,actual_speed_mean_rpm,vel_rms_mm_s,vel_rms_relative_to_standard,vel_peak_abs_mm_s,vel_peak_to_peak_mm_s,vel_crest_factor,vel_dominant_10_1000_hz,vel_dominant_10_1000_amp_mm_s,vel_one_x_amp_mm_s,vel_one_x_relative_to_standard,vel_two_x_amp_mm_s,vel_three_x_amp_mm_s,vel_one_to_three_x_energy_ratio,vel_band_10_100_ratio,vel_band_100_1000_ratio,vel_spectral_centroid_hz,vel_spectral_rolloff_85_hz,acc_rms_g,acc_rms_relative_to_standard,front_to_bench_hint
0,标准/默认22℃冷却,run_20260707_6000rpm_9min,ACC1,FrontBearingOuter,Y,6000.0,6000.002,0.0500724478863927,1.0,0.15508024970351333,0.30900489902597805,3.097117401876746,100.0,0.05218396818263178,0.05218396818263178,1.0,0.004700583231029075,0.01010318339491832,0.5816109201681066,0.1651349666046531,0.8331322345153817,336.59025663054547,774.1833333333333,0.08176258951063668,1.0,front
0,标准/默认22℃冷却,run_20260707_6000rpm_9min,ACC2,FrontBearingOuter,X,6000.0,6000.002,0.022198562763839334,1.0,0.08198851493979285,0.16239716825084188,3.693415461714,100.0,0.021570692877973797,0.021570692877973797,1.0,0.0027989242294337554,0.003930154791720612,0.5066139492813946,0.19204620102535577,0.8017598687103425,337.0003843575369,774.1833333333333,0.07595730071626458,1.0,front
0,标准/默认22℃冷却,run_20260707_6000rpm_9min,ACC3,BenchTop,Y,6000.0,6000.002,0.06578948829514322,1.0,0.15121962553095533,0.2931119360161645,2.298537797597049,100.0,0.08862792975409724,0.08862792975409724,1.0,0.002158402973893856,0.003930122449800371,0.9469327599815045,0.2063798684829056,0.7919981036092281,107.54961933239022,100.01666666666667,0.06171787920598242,1.0,bench
1,冷却20℃,run_20260707_6000rpm_10min_20℃,ACC1,FrontBearingOuter,Y,6000.0,5999.991258465011,0.041622124107811936,0.8312380533551434,0.14138875764841263,0.2805737126663106,3.3969616082586183,100.0,0.04710327873461032,0.04710327873461032,0.9026388826882573,0.0019340227464848582,0.007310892804777374,0.6688812590016234,0.2491547913938143,0.7467807044840714,236.4572017544259,774.1,0.07781002716868524,0.9516580582194348,front
1,冷却20℃,run_20260707_6000rpm_10min_20℃,ACC2,FrontBearingOuter,X,6000.0,5999.991258465011,0.019886843031620163,0.8958617385813428,0.07831250269311613,0.1499659446179284,3.9379052053962975,100.0,0.016970661150971504,0.016970661150971504,0.7867462230803228,0.002913636753061075,0.0038227907240506865,0.398945771449857,0.21932351571346462,0.7734885704971084,384.250379986888,799.9833333333333,0.08599655022013312,1.1321696454350023,front
1,冷却20℃,run_20260707_6000rpm_10min_20℃,ACC3,BenchTop,Y,6000.0,5999.991258465011,0.0614885904482804,0.9346263672462652,0.139009957172795,0.2778889258170533,2.260743922723676,100.0,0.0842013998402812,0.0842013998402812,0.9500549101609654,0.0019883611498187114,0.0031986974206143466,0.9539225494810399,0.22944034067247343,0.7687457982916879,102.99911687517512,100.0,0.057294500089580584,0.9283290486758483,bench
2,冷却24℃,run_20260707_6000rpm_10min_24℃,ACC1,FrontBearingOuter,Y,6000.0,5999.999616766467,0.0712431399936069,1.4228012210477008,0.21546014634622826,0.4184667291237655,3.024293235328522,100.0,0.08705731570259204,0.08705731570259204,1.6682770347764975,0.004250626079941882,0.0157763815384873,0.7853111063760736,0.18688930144780422,0.8122289357108343,226.75221913878207,774.2333333333333,0.0803627301492447,0.9828789747270679,front
2,冷却24℃,run_20260707_6000rpm_10min_24℃,ACC2,FrontBearingOuter,X,6000.0,5999.999616766467,0.026520126664616405,1.1946776440777844,0.10513710351768439,0.2005443744684286,3.964426899135443,100.0,0.031010518442830644,0.031010518442830644,1.4376227327633047,0.0026884221266941064,0.004290886807154487,0.7136275115216458,0.2245694492879038,0.7709472240131398,221.5275765924957,674.65,0.054215423084587336,0.7137618447910209,front
2,冷却24℃,run_20260707_6000rpm_10min_24℃,ACC3,BenchTop,Y,6000.0,5999.999616766467,0.10677943723816107,1.6230470855637258,0.21142932857565824,0.41588086267679286,1.980056591833181,100.0,0.1492345330008549,0.1492345330008549,1.6838318734840565,0.002205474147090778,0.005772800336314122,0.9826061972197303,0.21340658116364253,0.7861984358744155,103.08267240555905,100.0,0.05656017801276065,0.9164310041178176,bench
3,振动传感器重新放置,run_20260707_6000rpm_10min_reset,ACC1,FrontBearingOuter,Y,6000.0,5999.998520286396,0.06234304830821424,1.2450569313020563,0.22325521520672206,0.4258822934938123,3.5810763391450373,100.0,0.07838761831216415,0.07838761831216415,1.5021398533324577,0.0033390254168507707,0.010549857585955821,0.802443869171379,0.23702901030934614,0.7613150471750306,198.15692567706827,300.0,0.07540341485631269,0.9222239083621891,front
