run,condition_label,target_rpm,created_at_local,stable_block_start_s,stable_block_end_s,analysis_window_start_s,analysis_window_end_s,analysis_duration_s,actual_speed_mean_rpm,actual_speed_std_rpm,actual_speed_min_rpm,actual_speed_max_rpm,speed_ok_ratio,current_mean_a,current_std_a,source_segment_files_used,source_files_first_last,velocity_npz_xz,integration_warnings,front_velocity_rms_mm_s_mean,front_velocity_1x_mm_s_mean,front_velocity_harmonic_energy_ratio_mean,front_velocity_10_100_ratio_mean,front_velocity_100_1000_ratio_mean,front_acceleration_rms_g_mean,bench_velocity_rms_mm_s_mean,bench_velocity_1x_mm_s_mean,bench_velocity_harmonic_energy_ratio_mean,bench_acceleration_rms_g_mean,front_y_velocity_rms_mm_s,bench_y_velocity_rms_mm_s,front_to_bench_velocity_rms_ratio,max_velocity_rms_mm_s,max_acceleration_rms_g
run_20260707_5000rpm_10min,5000 rpm,5000.0,2026-07-07T20:23:57,45.18699999999808,644.5159999999996,584.5159999999996,644.5159999999996,60.0,5000.004580272823,0.38953069552833974,4998.93,5003.42,0.7250786988457503,0.01166841552990556,0.5335980810379812,7,000059_segment_acceleration_25600Hz_256000samples_start14848000.npz.xz .. 000065_segment_acceleration_25600Hz_256000samples_start16384000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_5000rpm_10min_velocity_10Hz_1000Hz_last60s.npz.xz,,0.03967612004284318,0.03701228527031746,0.3736649522079089,0.47076965904201823,0.521575858930653,0.1442485527962528,0.05759556348781941,0.07833882711357908,0.9054146850538384,0.047079742759704404,0.0604520947178767,0.05759556348781941,0.688874587558017,0.0604520947178767,0.1869867620812687
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,2026-07-07T21:27:37,55.34400000000096,654.5159999999996,594.5159999999996,654.5159999999996,60.0,5999.991258465011,0.4976826057692115,5992.09,6002.1,0.8724604966139955,0.023781038374717834,0.5383833059354486,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_6000rpm_10min_20_velocity_10Hz_1000Hz_last60s.npz.xz,,0.03075448356971605,0.03203696994279091,0.5339135152257402,0.23423915355363945,0.76013463749059,0.08190328869440919,0.0614885904482804,0.0842013998402812,0.9539225494810399,0.057294500089580584,0.041622124107811936,0.0614885904482804,0.5001656948956151,0.0614885904482804,0.08599655022013312
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,2026-07-07T21:50:58,55.64099999999962,654.405999999999,594.405999999999,654.405999999999,60.0,5999.999616766467,0.4604977486213871,5998.86,6001.55,0.862874251497006,-0.042958083832335334,0.5431889576860127,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_6000rpm_10min_24_velocity_10Hz_1000Hz_last60s.npz.xz,,0.048881633329111655,0.05903391707271134,0.7494693089488598,0.20572937536785402,0.791588079861987,0.06728907661691602,0.10677943723816107,0.1492345330008549,0.9826061972197303,0.05656017801276065,0.0712431399936069,0.10677943723816107,0.4577813349969804,0.10677943723816107,0.0803627301492447
run_20260707_6000rpm_10min_reset,振动传感器重新放置,6000.0,2026-07-07T21:07:14,56.01499999999942,655.7340000000004,595.7340000000004,655.7340000000004,60.0,5999.998520286396,0.46426488520862497,5998.76,6001.21,0.8929992044550518,-0.0011933174224343654,0.5431331730016589,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_6000rpm_10min_reset_velocity_10Hz_1000Hz_last60s.npz.xz,,0.042457905575118894,0.05157159655711097,0.7158602301086177,0.24953837792309488,0.746480068245871,0.07175720238958581,0.0881225111083178,0.12438584680811447,0.97404453112096,0.058377261396062675,0.06234304830821424,0.0881225111083178,0.48180544382048746,0.0881225111083178,0.07540341485631269
run_20260707_6000rpm_10min_reset_spindle,重新安装刀柄,6000.0,2026-07-07T22:21:56,55.48500000000058,654.719000000001,594.719000000001,654.719000000001,60.0,5999.995324371713,0.48643420111323477,5998.77,6003.6,0.8766803039158387,0.015891291642314436,0.5587970379487069,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_6000rpm_10min_reset_spindle_velocity_10Hz_1000Hz_last60s.npz.xz,,0.03531338544877467,0.03720073901303097,0.580058727839365,0.21068790189055858,0.783525459249437,0.07968437043754334,0.06452043236004773,0.0902617043564088,0.9595240505164837,0.05738990939653217,0.04872398319369368,0.06452043236004773,0.5473209672823176,0.06452043236004773,0.0885871545017744
run_20260707_6000rpm_10min_wo,无冷却,6000.0,2026-07-07T22:04:16,56.09400000000096,655.7029999999977,595.7029999999977,655.7029999999977,60.0,6000.009734826163,0.46497285178844766,5998.77,6001.45,0.8909840895698291,-0.012769593400117856,0.5224094166945696,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_6000rpm_10min_wo_velocity_10Hz_1000Hz_last60s.npz.xz,,0.0295098837707084,0.021434005235776626,0.32311563347342126,0.17781089204503828,0.8161100307126501,0.0744923172085502,0.04019870845151701,0.05333326814914119,0.9035028960908611,0.04724962715506505,0.04100168447053265,0.04019870845151701,0.7341002959410942,0.04100168447053265,0.0915931389180533
run_20260707_6000rpm_10min_wo_load,不加刀柄,6000.0,2026-07-07T22:39:06,55.21900000000096,654.2659999999996,594.2659999999996,654.2659999999996,60.0,5999.97530588908,0.5807104939036017,5998.58,6001.76,0.8902229845626072,0.03644368210405946,0.550682345951083,7,000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz .. 000066_segment_acceleration_25600Hz_256000samples_start16640000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_6000rpm_10min_wo_load_velocity_10Hz_1000Hz_last60s.npz.xz,,0.025207147887941775,0.009484617330208694,0.1239150869375154,0.20850058025604093,0.7837493700951652,0.08261137895549323,0.024979077791708545,0.027270761696011978,0.7335291084541012,0.06334662640233833,0.03212975801467433,0.024979077791708545,1.0091304450122227,0.03212975801467433,0.09233180644803786
run_20260707_6000rpm_9min,标准/默认22℃冷却,6000.0,2026-07-07T20:11:18,56.48500000000058,595.3129999999983,535.3129999999983,595.3129999999983,60.0,6000.002,0.4668959773424278,5998.74,6001.43,0.900609756097561,-0.050804878048780484,0.5605283535184958,7,000054_segment_acceleration_25600Hz_256000samples_start13568000.npz.xz .. 000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_6000rpm_9min_velocity_10Hz_1000Hz_last60s.npz.xz,,0.036135505325116016,0.03687733053030279,0.5441124347247506,0.17859058381500442,0.8174460516128621,0.07885994511345062,0.06578948829514322,0.08862792975409724,0.9469327599815045,0.06171787920598242,0.0500724478863927,0.06578948829514322,0.5492595589588078,0.06578948829514322,0.08176258951063668
run_20260707_7000rpm_10min,7000 rpm,7000.0,2026-07-07T20:36:03,65.64100000000326,664.844000000001,604.844000000001,664.844000000001,60.0,6999.997072671444,0.6522863716066497,6998.5,7011.02,0.9948822927328557,-0.006228249744114635,0.5840347354929678,7,000061_segment_acceleration_25600Hz_256000samples_start15360000.npz.xz .. 000067_segment_acceleration_25600Hz_256000samples_start16896000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_7000rpm_10min_velocity_10Hz_1000Hz_last60s.npz.xz,,0.09025892785851292,0.11884941762816639,0.8859770211971896,0.055232208589915247,0.943749282850737,0.06752833986013831,0.25986267188708145,0.36505926460270194,0.9962391895976233,0.0851760681303158,0.04331873744557157,0.25986267188708145,0.3473331787250047,0.25986267188708145,0.08525229354418534
run_20260707_8000rpm_10min,8000 rpm,8000.0,2026-07-07T20:49:35,76.28099999999904,675.719000000001,615.719000000001,675.719000000001,60.0,7999.976179310345,0.6919432406690298,7998.18,8001.91,0.9935632183908046,-0.015282758620689653,0.6480588170778868,7,000062_segment_acceleration_25600Hz_256000samples_start15616000.npz.xz .. 000068_segment_acceleration_25600Hz_256000samples_start17152000.npz.xz,analysis_out\velocity_response\velocity_segments\run_20260707_8000rpm_10min_velocity_10Hz_1000Hz_last60s.npz.xz,,0.04717848230656997,0.05743754204413252,0.7162281202002319,0.18431451840236276,0.8111401226973328,0.08407525230595811,0.12435713599461669,0.17089024793900354,0.9840079421730131,0.04914299841972059,0.021773468450408905,0.12435713599461669,0.37937897113208113,0.12435713599461669,0.10112982776588784
