run,condition_label,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,channel,sensor_id,position,direction,signal_type,unit,band_label,low_hz,high_hz,energy,energy_ratio
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,0-10 Hz,0.0,10.0,1.3675881310109865e-07,1.197398791251944e-06
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,10-100 Hz,10.0,100.0,2.30539624417442e-05,0.00020185014870599557
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,100-1000 Hz,100.0,1000.0,0.0004033817683234994,0.003531829728929913
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.10296634173575454,0.9015270777678066
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.010820340998857233,0.09473804970351427
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,0-10 Hz,0.0,10.0,1.086167060564144e-05,0.0009694710638081893
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,10-100 Hz,10.0,100.0,0.008294037495105013,0.7402939792215889
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.002898808723182487,0.25873654971460264
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,1.099689987117616e-22,9.81541109446275e-21
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,6.452850501399438e-33,5.759566891061579e-31
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,0-10 Hz,0.0,10.0,3.3102172004460994e-07,1.0001384555551366e-05
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,10-100 Hz,10.0,100.0,1.663652307942244e-07,5.026505963481376e-06
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,100-1000 Hz,100.0,1000.0,0.0001276038381648974,0.003855381622932455
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.017343889931149693,0.5240227525468926
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.015625600734307087,0.47210691139617766
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,0-10 Hz,0.0,10.0,1.2318197980231206e-05,0.014339492990849004
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,10-100 Hz,10.0,100.0,0.00017287779479290864,0.20124533886244755
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.0006738440017435613,0.7844151681467032
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,2.1919859733131936e-22,2.5516692904925943e-19
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,1.6670865902787152e-32,1.9406390865615325e-29
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,0-10 Hz,0.0,10.0,1.17360716336097e-07,1.8864228161170276e-05
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,10-100 Hz,10.0,100.0,2.7975177320828992e-05,0.004496650534391794
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,100-1000 Hz,100.0,1000.0,3.836716083699339e-05,0.006167028444617194
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.00036424579150418096,0.05854783382544442
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.00579063357990636,0.9307699923734174
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,0-10 Hz,0.0,10.0,1.6073274523223483e-05,0.0015381703801721134
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,10-100 Hz,10.0,100.0,0.009983311165433129,0.9553767969634067
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.00045022161826521306,0.04308503265642121
